UNITID,XGRCOHRT,GRCOHRT,XUGENTER,UGENTERN,XPGRCOHR,PGRCOHRT,XRRFTCT,RRFTCT,XRRFTEX,RRFTEX,XRRFTIN,RRFTIN,XRRFTCTA,RRFTCTA,XRET_NMF,RET_NMF,XRET_PCF,RET_PCF,XRRPTCT,RRPTCT,XRRPTEX,RRPTEX,XRRPTIN,RRPTIN,XRRPTCTA,RRPTCTA,XRET_NMP,RET_NMP,XRET_PCP,RET_PCP,XSTUFACR,STUFACR 
240198,"R",309,"R",967,"R",32,"R",369,"R",0,"R",0,"R",369,"R",248,"R",67,"R",236,"R",0,"R",0,"R",236,"R",136,"R",58,"R",7
240268,"R",2233,"R",2831,"R",79,"R",2106,"Z",0,"Z",0,"R",2106,"R",1642,"R",78,"R",17,"Z",0,"Z",0,"R",17,"R",5,"R",29,"R",20
240277,"R",1147,"R",4129,"R",28,"R",862,"Z",0,"Z",0,"R",862,"R",623,"R",72,"R",49,"Z",0,"Z",0,"R",49,"R",15,"R",31,"R",23
240329,"R",2210,"R",2726,"R",81,"R",2115,"Z",0,"Z",0,"R",2115,"R",1779,"R",84,"R",26,"Z",0,"Z",0,"R",26,"R",16,"R",62,"R",19
240338,"R",274,"R",353,"R",78,"R",281,"R",0,"R",0,"R",281,"R",225,"R",80,"R",0,"R",0,"R",0,"R",0,"R",0,"A",,"R",12
240365,"R",1709,"R",6686,"R",26,"R",1363,"Z",0,"Z",0,"R",1363,"R",939,"R",69,"R",13,"Z",0,"Z",0,"R",13,"R",3,"R",23,"R",21
240374,"R",443,"R",761,"R",58,"R",514,"Z",0,"Z",0,"R",514,"R",336,"R",65,"R",27,"Z",0,"Z",0,"R",27,"R",11,"R",41,"R",17
240392,"R",197,"R",347,"R",57,"R",33,"R",0,"R",0,"R",33,"R",15,"R",45,"R",19,"R",0,"R",0,"R",19,"R",11,"R",58,"R",17
240417,"R",1292,"R",1847,"R",70,"R",1293,"Z",0,"Z",0,"R",1293,"R",877,"R",68,"R",39,"Z",0,"Z",0,"R",39,"R",17,"R",44,"R",19
240426,"R",334,"R",719,"R",46,"R",269,"Z",0,"Z",0,"R",269,"R",174,"R",65,"R",7,"Z",0,"Z",0,"R",7,"R",2,"R",29,"R",16
240444,"R",8442,"R",10327,"R",82,"R",7256,"Z",0,"Z",0,"R",7256,"R",6909,"R",95,"R",50,"Z",0,"Z",0,"R",50,"R",43,"R",86,"R",17
240453,"R",3250,"R",5132,"R",63,"R",2635,"Z",0,"Z",0,"R",2635,"R",1993,"R",76,"R",58,"Z",0,"Z",0,"R",58,"R",24,"R",41,"R",18
240462,"R",1242,"R",1612,"R",77,"R",1260,"Z",0,"Z",0,"R",1260,"R",956,"R",76,"R",10,"Z",0,"Z",0,"R",10,"R",3,"R",30,"R",20
240471,"R",995,"R",1467,"R",68,"R",1077,"Z",0,"Z",0,"R",1077,"R",773,"R",72,"R",11,"Z",0,"Z",0,"R",11,"R",6,"R",55,"R",19
240480,"R",1767,"R",2569,"R",69,"R",1526,"Z",0,"Z",0,"R",1526,"R",1139,"R",75,"R",61,"Z",0,"Z",0,"R",61,"R",19,"R",31,"R",20
240505,"R",545,"R",856,"R",64,"R",559,"R",0,"R",0,"R",559,"R",347,"R",62,"R",87,"R",0,"R",0,"R",87,"R",25,"R",29,"R",14
240514,"R",198,"R",680,"R",29,"R",5,"R",0,"R",0,"R",5,"R",3,"R",60,"R",3,"R",0,"R",0,"R",3,"R",1,"R",33,"R",12
